2023-01-19 19:15:18,569 INFO    MainThread:111357 [wandb_setup.py:_flush():68] Configure stats pid to 111357
2023-01-19 19:15:18,570 INFO    MainThread:111357 [wandb_setup.py:_flush():68] Loading settings from /home/dahala/.config/wandb/settings
2023-01-19 19:15:18,570 INFO    MainThread:111357 [wandb_setup.py:_flush():68] Loading settings from /home/dahala/extremevaluelandslides/wandb/settings
2023-01-19 19:15:18,570 INFO    MainThread:111357 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-19 19:15:18,570 INFO    MainThread:111357 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-01-19 19:15:18,570 INFO    MainThread:111357 [wandb_init.py:_log_setup():476] Logging user logs to /home/dahala/extremevaluelandslides/wandb/run-20230119_191518-fe9tq1yl/logs/debug.log
2023-01-19 19:15:18,570 INFO    MainThread:111357 [wandb_init.py:_log_setup():477] Logging internal logs to /home/dahala/extremevaluelandslides/wandb/run-20230119_191518-fe9tq1yl/logs/debug-internal.log
2023-01-19 19:15:18,570 INFO    MainThread:111357 [wandb_init.py:init():516] calling init triggers
2023-01-19 19:15:18,570 INFO    MainThread:111357 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'bs': 12}
2023-01-19 19:15:18,570 INFO    MainThread:111357 [wandb_init.py:init():535] re-initializing run, found existing run on stack: 2ffbzi1x
2023-01-19 19:15:18,573 INFO    MainThread:111357 [wandb_run.py:_finish():1753] finishing run dahal/Extreme Value/2ffbzi1x
2023-01-19 19:15:18,573 INFO    MainThread:111357 [jupyter.py:save_history():448] not saving jupyter history
2023-01-19 19:15:18,573 INFO    MainThread:111357 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2023-01-19 19:15:18,573 INFO    MainThread:111357 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2023-01-19 19:15:18,574 INFO    MainThread:111357 [wandb_run.py:_atexit_cleanup():1955] got exitcode: 0
2023-01-19 19:15:18,574 INFO    MainThread:111357 [wandb_run.py:_restore():1938] restore
2023-01-19 19:15:18,574 INFO    MainThread:111357 [wandb_run.py:_restore():1944] restore done
2023-01-19 19:15:30,754 INFO    MainThread:111357 [wandb_run.py:_footer_history_summary_info():3408] rendering history
2023-01-19 19:15:30,754 INFO    MainThread:111357 [wandb_run.py:_footer_history_summary_info():3440] rendering summary
2023-01-19 19:15:30,762 INFO    MainThread:111357 [wandb_run.py:_footer_sync_info():3364] logging synced files
2023-01-19 19:15:30,769 INFO    MainThread:111357 [wandb_init.py:init():569] starting backend
2023-01-19 19:15:30,769 INFO    MainThread:111357 [wandb_init.py:init():573] setting up manager
2023-01-19 19:15:30,771 INFO    MainThread:111357 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-19 19:15:30,773 INFO    MainThread:111357 [wandb_init.py:init():580] backend started and connected
2023-01-19 19:15:30,779 INFO    MainThread:111357 [wandb_run.py:_label_probe_notebook():1116] probe notebook
2023-01-19 19:15:30,779 INFO    MainThread:111357 [wandb_run.py:_label_probe_notebook():1126] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-01-19 19:15:30,779 INFO    MainThread:111357 [wandb_init.py:init():658] updated telemetry
2023-01-19 19:15:30,977 INFO    MainThread:111357 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-19 19:15:32,653 INFO    MainThread:111357 [wandb_run.py:_on_init():2006] communicating current version
2023-01-19 19:15:32,984 INFO    MainThread:111357 [wandb_run.py:_on_init():2010] got version response upgrade_message: "wandb version 0.13.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-01-19 19:15:32,984 INFO    MainThread:111357 [wandb_init.py:init():728] starting run threads in backend
2023-01-19 19:15:37,685 INFO    MainThread:111357 [wandb_run.py:_console_start():1986] atexit reg
2023-01-19 19:15:37,685 INFO    MainThread:111357 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-19 19:15:37,685 INFO    MainThread:111357 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-19 19:15:37,685 INFO    MainThread:111357 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-19 19:15:37,686 INFO    MainThread:111357 [wandb_init.py:init():765] run started, returning control to user process
2023-01-19 19:15:37,694 INFO    MainThread:111357 [wandb_init.py:_resume_backend():398] resuming backend
